smiles,COVID_O60885,COVID_O96028,COVID_P00750,COVID_P05556,COVID_P06280,COVID_P09884,COVID_P12268,COVID_P14735,COVID_P17612,COVID_P19784,COVID_P21964,COVID_P25440,COVID_P26358,COVID_P27448,COVID_P33527,COVID_P48556,COVID_P55085,COVID_P55789,COVID_P62873,COVID_P67870,COVID_Q13443,COVID_Q13546,COVID_Q7KZI7,COVID_Q8WTV0,COVID_Q92769,COVID_Q99720,COVID_Q9H773,COVID_Q9H7Z7,COVID_Q9P0L2,COVID_Q9UHD2,COVID_Q9UHI8,COVID_ncats_3clpro,COVID_ncats_ace2_enzyme,COVID_ncats_spike_ace2_ppi,COVID_reframedb_plpro,HIV_ccr5,HIV_cd4,HIV_cxcr4,HIV_integrase,HIV_protease,HIV_reverse_transcriptase,HIV_reverse_transcriptase2
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
O=C1[C@H](CC[C@H](O)c2ccc(F)cc2)[C@@H](c2ccc(O)cc2)N1c1ccc(F)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
CCOP(=O)(CC)Oc1ccc([N+](=O)[O-])cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
NC12CC3CC(CC(C3)C1)C2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0,0,0,,,,,,,,
O=P(O)(O)OP(=O)(O)O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
C[C@](N)(Cc1ccc(O)cc1)C(=O)O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
COc1cc(/C=C\C(=O)N2CCN(CC(=O)N3CCCC3)CC2)cc(OC)c1OC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
C[S+](C)CCC(N)C(=O)O.[Cl-],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
C=C1/C(=C\C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)/C=C/[C@@H](O)C2CC2)C[C@@H](O)C[C@@H]1O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1.Cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
CCCCC(CC)CNC(=O)CC(C)OC(=O)CCC(=O)O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,,,,,,,
CCCCCCCCCC(=O)OC1(c2ccc(Cl)cc2)CCN(CCCC(=O)c2ccc(F)cc2)CC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
C=CC1(C)CC(=O)C2(O)C(C)(O1)C(OC(C)=O)C(OC(=O)CCN(C)C)C1C(C)(C)CCC(O)C12C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
O=C(Nc1ccc(Cl)cc1)Nc1ccc(Cl)c(C(F)(F)F)c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
CC(C)NCC(O)c1ccc(N[S+](C)(=O)[O-])cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
Cc1onc(-c2c(F)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@H]2C(=O)[O-],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
CC(=O)OC(C)C[N+](C)(C)C.[Cl-],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
NCCC(O)(P(=O)(O)O)P(=O)(O)O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
Cc1nc(NS(=O)(=O)c2ccc(N)cc2)nc(C)c1Br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)NCCc1ccccc1)OC)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)C)C(C)C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OC(=O)C(C)(CO)CO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
CCCCCCCCCCCCCCCCOc1nc2ccc(C)cc2c(=O)o1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
CC(OC(=O)NCC1(CC(=O)O)CCCCC1)OC(=O)C(C)C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
CCOc1ccc(Cc2nccc3cc(OCC)c(OCC)cc23)cc1OCC.Cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
CC(Cc1ccccc1)NCc1ccccc1Cl.Cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0,0,0,,,,,,,,
Cc1ncc(C[n+]2csc(CCOP(=O)(O)OP(=O)(O)O)c2C)c(N)n1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
CS(=O)(=O)O.Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
CC[N+](C)(C)c1cccc(O)c1.[Cl-],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
Nc1nc(=O)c(Br)c(-c2ccccc2)[nH]1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
O=C(O)c1cc(O)nc(O)n1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
COc1ccc(C(=O)c2ccccc2)c(O)c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
C/C=C/C=C/C(=O)O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
Cc1nnc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)Cn4cnnn4)[C@H]3SC2)s1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(NC(=N)N)cc2)cc1.CS(=O)(=O)O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
Cc1ccc(Nc2c(F)cccc2Cl)c(CC(=O)O)c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
Cl.Nc1c2ccccc2nc2ccccc12.O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O.Cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,,,,,,,
CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCCO)c(I)c(C(=O)NCC(O)CO)c1I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
Cc1cnc(NC(=O)C2=C(O)c3ccccc3[S+](=O)([O-])N2C)s1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
Cc1cc(Nc2ccccc2C(=O)O)ccc1Cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,,,,,,,,
COc1cc2c(cc1OC)CC(=O)N(CCCN(C)C[C@H]1Cc3cc(OC)c(OC)cc31)CC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
O=C(OCC1(COC(=O)c2cccnc2)CCCC(COC(=O)c2cccnc2)(COC(=O)c2cccnc2)C1O)c1cccnc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,,,,,,,
C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3C(=O)C[C@]2(C)[C@@]1(O)C(=O)CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
CC(C)(C)NCC(O)COc1cccc2c1C[C@H](O)[C@H](O)C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
CNC(=O)C[C@@H](N)C(=O)N[C@@H](C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12)c1ccc(O)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc3c(c2)O[C@@H](c2ccccc2)n2c-3cc3cc(-c4cnc([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]4)ccc32)[nH]1)C(C)C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,,,,,,,
CCCCCOc1ccc(-c2ccc(-c3ccc(C(=O)NC4CC(O)C(O)NC(=O)C5C(O)C(C)CN5C(=O)C(C(C)O)NC(=O)C(C(O)C(O)c5ccc(O)cc5)NC(=O)C5CC(O)CN5C(=O)C(C(C)O)NC4=O)cc3)cc2)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,,,,,,,
CNC(=O)OCc1cccc(COC(=O)NC)n1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
CCCCCCCCCCCCCCCC(=O)OC1C(SC)OC(C(NC(=O)C2CC(CCC)CN2C)C(C)Cl)C(O)C1O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,,,,,,
Clc1ccc(C(Cn2ccnc2)OCc2c(Cl)cccc2Cl)c(Cl)c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
CO[C@H]1/C=C\O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c5c(nc6cc(C)ccn65)c4c3C2=O)NC(=O)/C(C)=C\C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)C(O)[C@H]2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)[C@H](N)[C@@H](O)[C@@H]1O.O=S(=O)(O)O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
O=C1c2c(O)cccc2[C@@H]([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c2cc(CO)cc(O)c21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
CN(C)CC/C=C1\c2ccccc2CSc2ccccc21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
CCCCS(=O)(=O)N[C@@H](Cc1ccc(OCCCCC2CCNCC2)cc1)C(=O)O.Cl.O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl.[Na+],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,,,,,,,
CCCn1cnc2c1c(=O)n(CCCCC(C)=O)c(=O)n2C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
